lineage,collection_date,subm_date,region,country,province,variant,date_2weeks
DENV-1 Genotype V,2004-01-01,,,Reunion,,Genotype V,2004-01-01
DENV-1 Genotype IV,2004-01-01,,,Reunion,,Genotype IV,2004-01-01
DENV-1 Genotype I,,,,Djibouti,,Genotype I,
DENV-1 Genotype IV,2004-01-01,,,Reunion,,Genotype IV,2004-01-01
DENV-1 Genotype IV,2004-01-01,,,Seychelles,,Genotype IV,2004-01-01
DENV-1,1993-01-01,,,Comoros,,Unassigned,1993-01-01
DENV-1 Genotype IV,2004-05-01,,,Reunion,,Genotype IV,2004-05-01
DENV-1 Genotype I,2011-01-01,,,Somalia,,Genotype I,2011-01-01
DENV-1 Genotype I,2011-01-01,,,Somalia,,Genotype I,2011-01-01
DENV-1 Genotype I,2011-01-01,,,Somalia,,Genotype I,2011-01-01
DENV-1 Genotype I,2011-01-01,,,Somalia,,Genotype I,2011-01-01
DENV-1 Genotype I,2011-01-01,,,Somalia,,Genotype I,2011-01-01
DENV-1 Genotype IV,2005-01-01,,,Madagascar,,Genotype IV,2005-01-01
DENV-1 Genotype IV,2004-01-01,,,Reunion,,Genotype IV,2004-01-01
DENV-1 Genotype V,,,,Angola,,Genotype V,
DENV-1 Genotype V,2007-01-01,,,Nigeria,,Genotype V,2007-01-01
DENV-1 Genotype IV,2004-01-01,,,Reunion,,Genotype IV,2004-01-01
DENV-1 Genotype V,,,,Angola,,Genotype V,
DENV-1 Genotype IV,2004-01-01,,,Reunion,,Genotype IV,2004-01-01
DENV-1 Genotype V,2004-01-01,,,Reunion,,Genotype V,2004-01-01
DENV-1 Genotype I,,,,Kenya,,Genotype I,
DENV-1,,,,Nigeria,,Unassigned,
DENV-1 Genotype I,,,,Kenya,,Genotype I,
DENV-1 Genotype IV,2004-01-01,,,Seychelles,,Genotype IV,2004-01-01
DENV-1 Genotype IV,2006-01-01,,,Madagascar,,Genotype IV,2006-01-01
DENV-1 Genotype IV,2004-01-01,,,Reunion,,Genotype IV,2004-01-01
DENV-1 Genotype I,,,,Djibouti,,Genotype I,
DENV-1 Genotype I,2010-01-01,,,Eritrea,,Genotype I,2010-01-01
DENV-1 Genotype I,2013-05-01,,,Kenya,,Genotype I,2013-05-01
DENV-1 Genotype I,2013-04-01,,,Kenya,,Genotype I,2013-04-01
DENV-1 Genotype I,2013-05-01,,,Kenya,,Genotype I,2013-05-01
DENV-1 Genotype III,2015-12-01,,,Senegal,,Genotype III,2015-12-01
DENV-1 Genotype III,2015-12-01,,,Senegal,,Genotype III,2015-12-01
DENV-1,2019-02-28,,,Benin,,Unassigned,2019-02-28
DENV-1 Genotype II,2014-07-01,,,Kenya,,Genotype II,2014-07-01
DENV-1 Genotype II,2014-07-01,,,Kenya,,Genotype II,2014-07-01
DENV-1 Genotype II,2015-03-01,,,Kenya,,Genotype II,2015-03-01
DENV-1 Genotype II,2015-03-01,,,Kenya,,Genotype II,2015-03-01
DENV-1 Genotype II,2015-12-01,,,Kenya,,Genotype II,2015-12-01
DENV-1,2019-09-18,,,Senegal,,Unassigned,2019-09-18
DENV-1,2015-10-22,,,Mauritania,,Unassigned,2015-10-22
DENV-1,2018-11-01,,,Senegal,,Unassigned,2018-11-01
DENV-1,2018-11-01,,,Senegal,,Unassigned,2018-11-01
DENV-1 Genotype I,2010-01-01,,,Gambia,,Genotype I,2010-01-01
DENV-1 Genotype I,2013-01-01,,,Kenya,,Genotype I,2013-01-01
DENV-1,2015-01-01,,,Eritrea,,Unassigned,2015-01-01
DENV-1,2016-01-01,,,Kenya,,Unassigned,2016-01-01
DENV-1 Genotype I,2011-01-01,,,Somalia,,Genotype I,2011-01-01
DENV-1 Genotype V,1988-01-01,,,Angola,,Genotype V,1988-01-01
